data_index,用户名,电脑配置,评论内容,有用数,重复购买情况,评分,内存,硬盘,date,是否差评,产品系列,评论长度,评论分词,评论分词_去停用词,情感分数,评论关键词,情感标签,TFIDF向量,是否高价值,可疑程度
839,j***8,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,电脑收到了，还没开始用，物流快,0,否,3,32G,1T,2026-01-12,差评,酷睿版,15,电脑 收到 了 ， 还 没 开始 用 ， 物流 快,收到 没,0.4378147446354623,电脑 物流,中性,[0. 0. 0. ... 0. 0. 0.],False,需关注(无具体问题)
892,jd135611brl,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,该型号有息屏死机问题，而且激活不退不换,0,否,1,16G,1T,2026-01-24,差评,Y7000游戏本,19,该 型号 有息屏 死机 问题 ， 而且 激活 不退 不换,型号 有息屏 死机 激活 不退 不换,0.0002804149790154309,死机 型号 激活 问题,负面,[0. 0. 0. ... 0. 0. 0.],False,需关注(无具体问题)
904,jd_LfNmGlMRkWRU,全能电竞R7000 RTX5060/锐龙?7 H 255/16G 512G,刚买几天就降价将近1000元，找他们报价说是国补，我说我退了重买，说激活了不能退，总之很生气。,0,该店铺购买≥2次,1,16G,512G,2026-01-23,差评,R7000游戏本,47,刚买 几天 就 降价 将近 1000 元 ， 找 他们 报价 说 是 国补 ， 我 说 我 退 了 重买 ， 说 激活 了 不能 退 ， 总之 很 生气 。,刚买 几天 降价 1000 元 找 报价 国补 退 重买 激活 不能 退 生气,5.125494302848921e-05,降价 报价 激活 生气,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
924,jd_2de3l6tbdb56hn,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,用了不到2个月，电脑突然连不上网了，有线和无线都连不上，联系客服试了好几次也没能解决………,0,该店铺购买≥2次,3,16G,1T,2026-01-22,差评,Y7000游戏本,45,用 了 不到 2 个 月 ， 电脑 突然 连 不 上网 了 ， 有线 和 无线 都 连不上 ， 联系 客服 试 了 好 几次 也 没能 解决 … … …,不到 上网 有线 无线 连不上 试 几次 没能 解决,0.000885890288099378,有线 无线 客服 电脑 联系,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
947,b***y,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,才买1个月 各种死机 开不了机,0,该店铺购买≥2次,1,16G,1T,2026-01-20,差评,Y7000游戏本,15,才 买 1 个 月   各种 死机   开 不了 机,买 死机 开 机,0.01151859468171379,死机,负面,[0. 0. 0. ... 0. 0. 0.],False,需关注(无具体问题)
992,A***p,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,收到货第一天，还没进入windows桌面，刚连上网，发现屏幕尺寸看着别扭，查了原来是15.3寸。我之前的是16寸，很不习惯。于是我收到货的当天，找联想客服申请7天无理由退货。结果客服说联网了，就激活了，不给退。再找了京东plus专属客服协调，还是不给退。简直是霸王条款，电脑桌面没进一次，联网了就说激活不给退，我又不是恶意退款，我准备退了Y7000，买Y7000P。简直恶心人，在京东消费者正当权益都得不到保障，京东plus也不续费了。,0,该店铺购买≥2次,1,16G,1T,2026-01-18,差评,Y7000游戏本,218,收到 货 第一天 ， 还 没 进入 windows 桌面 ， 刚连 上网 ， 发现 屏幕 尺寸 看着 别扭 ， 查 了 原来 是 15.3 寸 。 我 之前 的 是 16 寸 ， 很 不 习惯 。 于是 我 收到 货 的 当天 ， 找 联想 客服 申请 7 天无 理由 退货 。 结果 客服 说 联网 了 ， 就 激活 了 ， 不 给 退 。 再 找 了 京东 plus 专属 客服 协调 ， 还是 不 给 退 。 简直 是 霸王 条款 ， 电脑桌面 没 进 一次 ， 联网 了 就 说 激活 不 给 退 ， 我 又 不是 恶意 退款 ， 我 准备 退 了 Y7000 ， 买 Y7000P 。 简直 恶心 人 ， 在 京东 消费者 正当权益 都 得不到 保障 ， 京东 plus 也 不 续费 了 。,收到 货 第一天 没 windows 桌面 刚连 上网 发现 屏幕 尺寸 看着 别扭 查 15.3 寸 16 寸 习惯 收到 货 当天 找 申请 天无 理由 退货 联网 激活 退 找 plus 专属 协调 退 霸王 条款 电脑桌面 没 进 联网 激活 退 恶意 退款 退 Y7000 买 Y7000P 恶心 消费者 正当权益 得不到 保障 plus 续费,0.0,客服 激活 电脑桌面 专属 桌面,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
1024,jd_MgWPASTFVEca,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,新买电脑一个月，今天突然开会没带电源会议还没开完电脑先没电了，办公一个小时不到这还只是均衡模式，什么垃圾电池。客服一开始说办公3-5个小时，看我说我这一个小时不到就没电，就改口说没有数据说明，简直可笑,1,该店铺购买≥2次,1,16G,1T,2026-01-15,差评,Y7000游戏本,100,新买 电脑 一个月 ， 今天 突然 开会 没带 电源 会议 还 没开 完 电脑 先 没电 了 ， 办公 一个 小时 不到 这 还 只是 均衡 模式 ， 什么 垃圾 电池 。 客服 一 开始 说 办公 3 - 5 个 小时 ， 看 我 说 我 这 一个 小时 不到 就 没电 ， 就 改口说 没有 数据 说明 ， 简直 可笑,新买 一个月 开会 没带 电源 会议 没开 完 先 没电 办公 小时 不到 均衡 模式 垃圾 电池 办公 小时 小时 不到 没电 改口说 数据 可笑,5.669722767609464e-06,小时 办公 电脑 客服 垃圾,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
1087,车魂战骑_成功x1668,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,现在刚刚收到使用，后面到时候再追加评论结果，看看我和效果。,0,否,3,16G,1T,2025-12-10,差评,Y7000游戏本,29,现在 刚刚 收到 使用 ， 后面 到时候 再 追加 评论 结果 ， 看看 我 和 效果 。,刚刚 收到 到时候 追加 评论 效果,0.5417652909355853,评论 效果 结果,中性,[0. 0. 0. ... 0. 0. 0.],False,可信
1829,尼古二丁,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,购物体验非常差，机器买来一个星期就开机黑屏无法进入桌面，申请换货 被驳回 说是用了第三方桌面应用导致系统崩溃？可我明明用的官方联想应用商店里的壁纸 没想到就崩溃了 ……还真是挺容易崩溃的？就这么脆弱吗 ？我那用了那么多年的华硕也没见开机系统崩溃呢……反正就这样吧 我看还出现这种情况要怎么处理 ……无力吐槽了 。买之前想清楚吧 ……,0,该店铺购买≥2次,1,16G,1T,2025-11-18,差评,Y7000游戏本,166,购物 体验 非常 差 ， 机器 买来 一个 星期 就 开机 黑屏 无法 进入 桌面 ， 申请 换货   被 驳回   说 是 用 了 第三方 桌面 应用 导致系统 崩溃 ？ 可 我 明明 用 的 官方 联想 应用 商店 里 的 壁纸   没想到 就 崩溃 了   … … 还 真是 挺 容易 崩溃 的 ？ 就 这么 脆弱 吗   ？ 我 那用 了 那么 多年 的 华硕 也 没见 开机 系统 崩溃 呢 … … 反正 就 这样 吧   我 看 还 出现 这种 情况 要 怎么 处理   … … 无力 吐槽 了   。 买 之前 想 清楚 吧   … …,体验 差 机器 买来 星期 开机 黑屏 桌面 申请 换货 驳回 第三方 桌面 导致系统 崩溃 明明 官方 商店 壁纸 没想到 崩溃 挺 崩溃 脆弱 那用 多年 华硕 没见 开机 系统 崩溃 反正 情况 无力 吐槽 买 想,2.565608836491151e-09,开机 桌面 导致系统 壁纸 商店,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
1834,jd_ujk372w48c76v4,14英寸 标压酷睿i5|24G 512G|高色域,大脑卡的飞起,0,否,2,24G,512G,2026-01-27,差评,酷睿版,6,大脑 卡 的 飞起,大脑 卡 飞起,0.13504996140397185,大脑,负面,[0. 0. 0. ... 0. 0. 0.],False,需关注(超短评)
1852,Ron-xu,14英寸 标压锐龙R7|16G 512G|高刷屏,前天晚上购买3999，昨天显示3399；就算是国补，这掉价也太快了；而且第一次付款时京东支付也不显示享受国补，第二天就显示了；跟店铺和京东多次沟通无果相互推诿扯皮，所谓的七天无理由退货就是一句空话，你开机就不行了，那不开机我怎么知道电脑好不好，简直就是霸王条款,1,该店铺购买≥2次,1,16G,512G,2026-01-25,差评,锐龙版,130,前天 晚上 购买 3999 ， 昨天 显示 3399 ； 就算 是 国补 ， 这 掉价 也 太快 了 ； 而且 第一次 付款 时 京东 支付 也 不 显示 享受 国补 ， 第二天 就 显示 了 ； 跟 店铺 和 京东 多次 沟通 无果 相互 推诿 扯皮 ， 所谓 的 七天 无 理由 退货 就是 一句 空话 ， 你 开机 就 不行 了 ， 那 不 开机 我 怎么 知道 电脑 好不好 ， 简直 就是 霸王 条款,前天 晚上 购买 3999 昨天 显示 3399 国补 掉价 太快 第一次 付款 时 支付 显示 享受 国补 第二天 显示 店铺 沟通 无果 相互 推诿 扯皮 七天 理由 退货 一句 空话 开机 不行 开机 好不好 霸王 条款,2.9768022178466857e-05,开机 空话 霸王 店铺 条款,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
1854,jd_y717kxw6t5h1y8,14英寸 标压酷睿i5|24G 512G|高色域,太垃圾了 刚买回来就卡顿黑屏 超级难用 大家都避雷吧千万别买,0,否,2,24G,512G,2026-01-25,差评,酷睿版,30,太 垃圾 了   刚 买回来 就 卡顿 黑屏   超级 难 用   大家 都 避雷 吧 千万别 买,太 垃圾 买回来 卡顿 黑屏 超级 难 避雷 千万别 买,0.0002773279440926313,垃圾 大家,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
1876,j***k,16英寸 标压酷睿i5|24G 512G|高色域,电脑非常难用，才买一个多月早上开机都开好久，wps都打不开,1,否,1,24G,512G,2026-01-23,差评,酷睿版,29,电脑 非常 难 用 ， 才 买 一个多月 早上 开机 都 开 好久 ， wps 都 打不开,难 买 一个多月 早上 开机 开 好久 wps 打不开,0.012278057588438696,开机 电脑,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
1880,j***w,16英寸 标压酷睿i5|24G 512G|高色域,大家在京东买东西一定要小心，全是坑，买了笔记本外壳出现印记，联想售后告诉我是人为的，因为31天了，过了质保时间我同意换新壳，并且通知需要拆下来的旧壳一同邮寄过来我需要找专业机构检测，因为售后强调是我人为的，我不认可，可是回复结果都是不给邮寄，没有鬼为什么不敢邮寄呀，难道是内部问题内部消化吗，作为公司这点担当都没有吗，我说如果再次出现这样问题你是不是该给换新的了，可是最后的答复告诉我还是已售后人员鉴定为主，心里还是没有底，感觉被骗了，京东平台也不值得信赖！,0,否,1,24G,512G,2026-01-22,差评,酷睿版,229,大家 在 京东 买 东西 一定 要 小心 ， 全是 坑 ， 买 了 笔记本 外壳 出现 印记 ， 联想 售后 告诉 我 是 人为 的 ， 因为 31 天 了 ， 过 了 质保 时间 我 同意 换新壳 ， 并且 通知 需要 拆下来 的 旧壳 一同 邮寄 过来 我 需要 找 专业 机构 检测 ， 因为 售后 强调 是 我 人为 的 ， 我 不 认可 ， 可是 回复 结果 都 是 不 给 邮寄 ， 没有 鬼 为什么 不敢 邮寄 呀 ， 难道 是 内部 问题 内部 消化 吗 ， 作为 公司 这点 担当 都 没有 吗 ， 我 说 如果 再次出现 这样 问题 你 是不是 该 给 换 新 的 了 ， 可是 最后 的 答复 告诉 我 还是 已 售后 人员 鉴定 为主 ， 心里 还是 没有 底 ， 感觉 被 骗 了 ， 京东 平台 也 不 值得 信赖 ！,买 小心 全是 坑 买 外壳 印记 告诉 人为 31 天 质保 时间 同意 换新壳 通知 拆下来 旧壳 一同 邮寄 找 专业 机构 检测 人为 认可 回复 邮寄 鬼 邮寄 内部 内部 消化 公司 担当 再次出现 换 新 答复 告诉 人员 鉴定 底 骗 平台 值得 信赖,5.551115123125783e-15,售后 人为 旧壳 印记 外壳,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
1884,粮食的粮,14英寸 标压酷睿i5|24G 512G|高色域,本款电脑，冬天气温低开不了机，需要重启好多次，一直处于卡壳状态，大概半个小时就能开机了，非常好用，强烈推荐，要想买卡壳的电脑就买它,0,否,1,24G,512G,2026-01-21,差评,酷睿版,65,本款 电脑 ， 冬天 气温 低开 不了 机 ， 需要 重启 好 多次 ， 一直 处于 卡壳 状态 ， 大概 半个 小时 就 能 开机 了 ， 非常 好用 ， 强烈推荐 ， 要 想 买 卡壳 的 电脑 就 买 它,本款 冬天 气温 低开 机 重启 处于 卡壳 状态 半个 小时 开机 好用 强烈推荐 想 买 卡壳 买,0.00038525891758012243,电脑 本款 开机 气温 小时,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
1921,Spacestyle甜尤,16英寸 标压酷睿i5|24G 512G|高色域,别买了，充电器漏电，电脑都不敢摸表面，客服推着让找专员专员三天没理我。售后今天推明天明天推后天的。联想已经不是以前的联想了，y7000老用户留言,1,该店铺购买≥2次,1,24G,512G,2026-01-11,差评,酷睿版,72,别买 了 ， 充电器 漏电 ， 电脑 都 不敢 摸 表面 ， 客服 推着 让 找 专员 专员 三天 没理 我 。 售后 今天 推 明天 明天 推 后天 的 。 联想 已经 不是 以前 的 联想 了 ， y7000 老 用户 留言,别买 充电器 漏电 摸 表面 推着 找 专员 专员 三天 没理 推 明天 明天 推 后天 y7000 用户 留言,1.4246855661870228e-07,专员 充电器 售后 客服 电脑,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
1924,DL19,14英寸 标压酷睿i5|24G 512G|高色域,说好的只换不修出问题了还是原机发回,1,否,1,24G,512G,2026-01-11,差评,酷睿版,17,说好 的 只 换 不 修出 问题 了 还是 原机 发回,说好 换 修出 原机 发回,0.006420764171631288,原机 问题,负面,[0. 0. 0. ... 0. 0. 0.],False,需关注(无具体问题)
1934,绍***a,16英寸 标压酷睿i5|24G 512G|高色域,太慢了，经常死机,1,否,1,24G,512G,2026-01-09,差评,酷睿版,8,太慢 了 ， 经常 死机,太慢 死机,0.0817714612758984,死机 太慢,负面,[0. 0. 0. ... 0. 0. 0.],False,需关注(超短评)
1951,jd_WvkmKDSwMJMV,16英寸 标压酷睿i5|24G 512G|高色域,真的垃圾货，这不到两个月，天天不同的新问题,0,该店铺购买≥2次,1,24G,512G,2026-01-06,差评,酷睿版,21,真的 垃圾 货 ， 这 不到 两个 月 ， 天天 不同 的 新 问题,真的 垃圾 货 不到 两个 天天 新,0.06542289233906307,垃圾 不同 问题,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
1958,jd_185656eof,15.1英寸 标压锐龙R7|16G 512G|OLED高刷屏,超级差，买了一个月，两次开不了机。我从来不玩游戏，连应用都只有三四个，都能这样，不敢相信，用久了怎么办,0,否,1,16G,512G,2026-01-04,差评,锐龙版,51,超级 差 ， 买 了 一个月 ， 两次 开 不了 机 。 我 从来不 玩游戏 ， 连 应用 都 只有 三四个 ， 都 能 这样 ， 不敢相信 ， 用久 了 怎么办,超级 差 买 一个月 两次 开 机 从来不 玩游戏 三四个 不敢相信 用久,0.0009634227250728822,玩游戏,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
1959,f5o7n7x32dfgw8,14英寸 标压酷睿i5|24G 512G|高色域,只要插上充电器使用10几分钟电脑热起来后，手摸到电脑机身电流感很强，严重影响使用感，换货寄回去也不检测就给我返回说没问题，返回来的时候电池只有百分之88的电，说明检测的时候根本没有插充电器，真是垃圾电脑 第一次给差评 平台客服和卖家客服两边推脱 找平他消息都不回,0,否,1,24G,512G,2026-01-04,差评,酷睿版,131,只要 插上 充电器 使用 10 几分钟 电脑 热 起来 后 ， 手摸 到 电脑 机身 电流 感 很 强 ， 严重 影响 使用 感 ， 换货 寄 回去 也 不 检测 就 给 我 返回 说 没 问题 ， 返回 来 的 时候 电池 只有 百分之 88 的 电 ， 说明 检测 的 时候 根本 没有 插 充电器 ， 真是 垃圾 电脑   第一次 给 差评   平台 客服 和 卖家 客服 两边 推脱   找平 他 消息 都 不 回,插上 充电器 10 几分钟 热 手摸 机身 电流 感 强 影响 感 换货 寄 回去 检测 返回 没 返回 电池 百分之 88 电 检测 插 充电器 垃圾 第一次 差评 平台 卖家 两边 推脱 找平 消息 回,3.4479286092903294e-10,电脑 充电器 客服 差评 卖家,负面,[0.         0.         0.19286775 ... 0.         0.         0.        ],False,可信
1969,谁在乎谁在意,16英寸 标压酷睿i5|24G 512G|高色域,垃圾产品，电池续航太短了！开机反应慢点要死，屏幕还有两个亮点,0,否,1,24G,512G,2026-01-03,差评,酷睿版,30,垃圾 产品 ， 电池 续航 太短 了 ！ 开机 反应 慢点 要死 ， 屏幕 还有 两个 亮点,垃圾 产品 电池 续航 太短 开机 慢点 要死 屏幕 两个 亮点,0.00906389323808221,开机 太短 屏幕 垃圾 亮点,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
1985,兜兜不吃糖-,16英寸 标压酷睿i5|24G 512G|高色域,??这款设备真让人失望，性能差强人意，使用体验很不顺畅 ????接口太少，扩展性差，日常使用非常不便 ????电池续航短，外出携带完全不实用 ?????屏幕色彩显示一般，视觉效果不够出色 ?????虽然包装和物流服务都很好，但产品本身实在难称满意 ?? ??,0,该店铺购买≥2次,1,24G,512G,2025-12-30,差评,酷睿版,129,? ? 这 款 设备 真让人 失望 ， 性能 差强人意 ， 使用 体验 很 不 顺畅   ? ? ? ? 接口 太 少 ， 扩展性 差 ， 日常 使用 非常 不便   ? ? ? ? 电池 续航 短 ， 外出 携带 完全 不 实用   ? ? ? ? ? 屏幕 色彩 显示 一般 ， 视觉效果 不够 出色   ? ? ? ? ? 虽然 包装 和 物流 服务 都 很 好 ， 但 产品 本身 实在 难称 满意   ? ?   ? ?,设备 真让人 失望 性能 差强人意 体验 顺畅 接口 太 少 扩展性 差 日常 不便 电池 续航 短 外出 携带 实用 屏幕 色彩 显示 视觉效果 出色 服务 产品 实在 难称 满意,0.12326171633092087,扩展性 视觉效果 真让人 顺畅 屏幕,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
1999,w***0,16英寸 标压酷睿i5|24G 512G|高色域,电脑后盖没有完全闭合,2,否,1,24G,512G,2025-12-28,差评,酷睿版,10,电脑 后盖 没有 完全 闭合,后盖 闭合,0.26025582003281245,电脑,负面,[0. 0. 0. ... 0. 0. 0.],False,需关注(超短评+无具体问题)
2009,jd_suncwt,14英寸 标压酷睿i5|24G 512G|高色域,联想这款电脑非常垃圾，首次开机2小时，开机前中间还死机。然后进来之后反应特别慢，不流畅，不推荐,0,否,1,24G,512G,2025-12-27,差评,酷睿版,47,联想 这 款 电脑 非常 垃圾 ， 首次 开机 2 小时 ， 开机 前 中间 还 死机 。 然后 进来 之后 反应 特别 慢 ， 不 流畅 ， 不 推荐,垃圾 首次 开机 小时 开机 前 死机 特别 慢 流畅 推荐,0.04621894918699487,开机 死机 流畅 垃圾 电脑,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
2012,u_va7z9lt6dvt2,16英寸 标压酷睿i5|24G 512G|高色域,垃圾玩意，用了几天充电器坏了都不愿意换个。垃圾玩意，谁买谁后悔,0,该店铺购买≥2次,1,24G,512G,2025-12-26,差评,酷睿版,31,垃圾 玩意 ， 用 了 几天 充电器 坏 了 都 不 愿意 换个 。 垃圾 玩意 ， 谁 买 谁 后悔,垃圾 玩意 几天 充电器 坏 换个 垃圾 玩意 买 后悔,1.7147105861980982e-05,玩意 垃圾 充电器,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
2139,东***后,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,怎么说呢，心心想想买来了，但是觉得屏幕看起来没有手机清楚，刷抖音会模糊，开大多数软件还是会卡卡的，内存还是上32g，我这个好像都是长鑫的内存固态，不是很满意了也是，对了特别容易沾指纹，要多擦,0,否,3,16G,1T,2026-01-25,差评,Y7000游戏本,95,怎么 说 呢 ， 心 心想 想 买来 了 ， 但是 觉得 屏幕 看起来 没有 手机 清楚 ， 刷抖 音会 模糊 ， 开 大多数 软件 还是 会 卡卡 的 ， 内存 还是 上 32g ， 我 这个 好像 都 是 长鑫 的 内存 固态 ， 不是 很 满意 了 也 是 ， 对 了 特别 容易 沾 指纹 ， 要 多 擦,心 心想 想 买来 屏幕 手机 刷抖 音会 模糊 开 软件 卡卡 内存 32g 好像 长鑫 内存 固态 满意 特别 沾 指纹 擦,0.00048574545402335634,内存 音会 指纹 固态 屏幕,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
2317,jd_819s6majaxq8pn,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,运行时，排气扇声音很大,2,否,3,16G,1T,2025-11-30,差评,Y7000游戏本,11,运行 时 ， 排气扇 声音 很大,运行 时 排气扇 声音 很大,0.1647197800317738,排气扇 声音 很大,负面,[0. 0. 0. ... 0. 0. 0.],False,需关注(无具体问题)
2574,jd_b257yh7fq4ytxn,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,性能没的说，玩游戏很流畅，物流也很快，但我拿到货不到10天，声音就要问题了，偶尔有电音,0,该店铺购买≥2次,2,16G,1T,2025-11-05,差评,R7000游戏本,43,性能 没 的 说 ， 玩游戏 很 流畅 ， 物流 也 很快 ， 但 我 拿到 货 不到 10 天 ， 声音 就要 问题 了 ， 偶尔 有 电音,性能 没 玩游戏 流畅 很快 拿到 货 不到 10 天 声音 电音,0.9474706710342521,电音 玩游戏 流畅 物流 性能,正面,[0.         0.         0.32250958 ... 0.         0.         0.        ],False,需关注(情感异常)
2652,j***f,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,感觉产品也就那样，一点都不耐脏，甚至怀疑是旧机，产品性能等过几天才知道，收到货包装有一点点破损,0,否,3,16G,1T,2025-11-08,差评,Y7000游戏本,47,感觉 产品 也 就 那样 ， 一点 都 不 耐脏 ， 甚至 怀疑 是 旧机 ， 产品 性能 等 过 几天 才 知道 ， 收到 货 包装 有 一点点 破损,产品 一点 耐脏 怀疑 旧机 产品 性能 几天 收到 货 一点点 破损,0.009175515660576616,耐脏 产品 性能 感觉,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
2774,酸汤龙利鱼,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,太差了 买的劝你们慎重，总是出现卡顿问题，刚买还没有一个月呢，出现了两三次了 这次更严重 跟死机了似的，最开始我买的1060T的Y7000P 没出现这种情况 越来越差劲,0,该店铺购买≥2次,1,16G,1T,2025-12-05,差评,Y7000游戏本,84,太差 了   买 的 劝 你们 慎重 ， 总是 出现 卡顿 问题 ， 刚买 还 没有 一个月 呢 ， 出现 了 两三次 了   这次 更 严重   跟 死机 了 似的 ， 最 开始 我 买 的 1060T 的 Y7000P   没 出现 这种 情况   越来越 差劲,太差 买 劝 慎重 卡顿 刚买 一个月 两三次 死机 买 1060T Y7000P 没 情况 越来越 差劲,1.1483541213719306e-05,死机 差劲 慎重 严重 情况,负面,[0. 0. 0. ... 0. 0. 0.],False,可信
