data_index,用户名,评论日期,电脑配置,评论内容,有用数,重复购买情况,评分,内存,硬盘,屏幕大小
65,7***h,2025-11-24,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,留意了这台电脑已经好久了，一直广东这边没有国补，最终只能在双11下手了。虽然没有国补那么更优惠，但也没办法，因为这个电脑是刚需的。整体来说电脑外观挺时尚的，运行速度不错，屏幕挺好，开机基本感觉不到热，可能现在天气的问题吧，windows第1次注册的时候确实花费了不少时间。1t的空间和32g的内存应该可以满足好长一段时间了，电池的续航还不错，但是一开始用这个时间可能不太准。,0,否,5,32G,1T,16
66,9***8,2025-10-09,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,还可以  非常清晰就是感觉有点卡，弹出的东西太多了,1,该店铺购买≥2次,3,32G,1T,16
67,j***s,2025-12-06,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,运行速度：很快，打游戏也不卡顿散热性能：散热很好，放在床上都不发热轻薄程度：非常轻便，颜值不错很满意，我家猫咪都爱看,2,该店铺购买≥2次,5,32G,1T,16
68,妈妈4206,2025-11-03,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,挺好用的，运行起来特别快，散热器声音特别小，功能齐全，键盘打字特别顺手，日常处理报表、开视频会议都特别流畅，多开几个文档也不卡顿。最加分的是屏幕，清晰度高还带护眼模式，加班赶方案眼睛也没那么累，续航也够用大半天，移动办公党表示非常满意。,0,否,5,32G,1T,16
69,时蓦然,2025-10-31,16英寸锐龙版 标压锐龙7 H 255|24G 1T,运行速度挺快，现在已经要了一个星期多，暂时没出什么问题，我觉得换电脑速度是根据本人爱惜程度吧，我今天开机11秒就打开了，可能我关了一些东西。笔记本散热性还是蛮强的，16寸感觉还是有点重的，要外出的可以优先选择14寸，追剧，玩游戏，16寸真的爽翻了。有免费office，追剧不卡顿，玩游戏也还行，挺流畅的，就是画质感人，毕竟是笔记本还是可以的，我感觉性价比还是蛮高的，过几个月再来评价,1,否,5,24G,1T,16
70,3***t,2025-11-24,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,之前买过小新，使用感受不错，这次再次购买小新。依旧是性能稳定，散热快速，键盘也灵敏，颜色是深灰色，个人感觉比银色好看，设计也更人性化，摄像头添加了滑动遮挡，使用更放心。推荐酷睿版小新，处理速度理想，日常办公非常合适。,0,该店铺购买≥2次,5,32G,1T,14
71,sun太阳哥哥,2025-11-07,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,颜值高，轻薄，显示屏非常清晰！接口够用，主要是轻薄，携带方便，现在科技真的是全方位进步，之前没想到这么轻薄的本本性能还这么强！,2,该店铺购买≥2次,5,32G,1T,16
72,jdfuj16,2025-11-25,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,一收到设备，就即刻开机试用。相比我用了近十年的联想昭阳笔记本，感觉这款笔记本的综合性能相当不错，散热效果好，几乎听不到风扇声，屏显细腻不刺眼。就是续航能力稍差，轻度使用不到5小时，电量就从100%降到30%。待后期优化一下系统看看能否延长点使用时间。,0,否,5,32G,1T,16
73,曾***说,2025-11-02,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,收货很快，开箱真机非常轻薄，2代CPU开机秒开运，行流畅，键盘也很好用，手感舒适，携带方便，屏幕亮度和色彩不错，完全可以满足日常工作和学习使用。,0,该店铺购买≥2次,5,32G,1T,14
74,徐三岁0519,2025-11-02,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,运行速度：挺好的屏幕效果：挺好的散热性能：还可以外形外观：挺不错的轻薄程度：很清薄其他特色：办公足够了,0,否,5,32G,1T,14
75,帅气的飞,2025-11-12,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,^O^晚上下单，第二天就到了，快递非常迅速，打开以后外观正常，非常漂亮，激活以后使用异常丝滑，自带office，使用非常方便～,1,否,5,32G,1T,14
76,转***7,2025-11-10,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,拿到手第一时间觉得很光滑，本子轻薄，携带便捷，外观金属看起来很有商务感，性能也不错，最主要的是电池续航挺久的，散热很快，键盘很舒服，平整滑溜，打字速度快。包装完好，发货速度快。,0,该店铺购买≥2次,5,32G,1T,16
77,g***a,2025-11-06,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,种草很久的联想小新，14很适合我移动办公携带，大小，厚度，都恰到好处。显示屏很清晰，风扇声音小。同事们都使用这款性价比高的笔记本电脑。这个双十一值得入手。,0,否,5,32G,1T,14
78,jd_180377xuv,2025-10-31,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,机身轻薄仅1.4 kg，金属质感顺滑，2.8K 120 Hz OLED屏色彩惊艳，性能释放稳，办公追剧都流畅，续航一天无压力，国补价性价比高，移动办公首选。,0,该店铺购买≥2次,5,32G,1T,14
79,few4w7829z2vg0,2025-11-19,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,一打开盖子，自动开机，我以为是漏关电脑了，结果它掀盖即开机，开机很快。运行速度：超级快，连开机键都不用按，一掀盖就开机,0,否,5,32G,1T,16
80,和娃一起玩耍,2025-12-13,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,物流特别快，运行速度也很快，没有噪音，本子也很纤薄，重量很轻，屏幕光色很柔和，键盘手感也不错，充电时在插口处有些许温度，金属质感外形很好。等用段时间再来追评。,0,该店铺购买≥2次,5,32G,1T,14
81,j***u,2025-10-28,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,很好的商品，屏幕清晰，值得推荐。卖家发货速度很快，商品质量很好。运行速度快，散热性能好。外形外观好，整体来说非常好，轻薄,0,否,5,32G,1T,14
82,神缺二两酒,2025-12-03,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,运行速度：还可以蛮好的屏幕效果：OK的轻薄程度：很轻（用了快一个月才评论的）开始送的办公软件，感觉最近wps用习惯了。这个不是很习惯。支持国产。东西蛮好上双11前面几天下单的,0,该店铺购买≥2次,5,32G,1T,14
83,5***f,2025-11-26,14英寸酷睿版 标压酷睿Ultra 5|32G 1T,14寸笔记本，携带方便，好像比之前的t14略重。外壳表面是金属质感的。新电脑运行速度挺快的，主要用来办公，够用了。电池续航还没体验，还没有移动办公。适配器是20v5A的，之前的67瓦适配器用不了了。,0,否,5,32G,1T,14
84,R***1,2025-11-13,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,电脑轻薄小巧，外壳材质手感很好，开机响应速度快，画质清晰亮丽，运行办公软件和图像处理软件响应迅速，出厂日期还好，大品牌售后服务应该没有问题。,0,该店铺购买≥2次,5,32G,1T,14
85,055赵450,2025-11-05,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,外形外观：色泽靓丽，沉稳不缺少青春气息运行速度：32内存搭配固态硬盘，系统速度流畅1 T硬盘存储够大，学习资料，照片视频都存下轻薄程度：轻薄适合移动办公送货速度快，好评,0,否,5,32G,1T,14
86,jd_152385giz,2025-11-16,16英寸酷睿版 标压酷睿Ultra 5|32G 1T,设计轻薄，运行速度快，屏幕效果：屏幕清晰，不留指纹散热性能：散热性好，用一天基本不发热运行速度：运行速度快，平时办公非常好，运行时声音也不大，没有什么噪音，非常适合上班族！,0,否,5,32G,1T,16
87,jd_yZvMLDPldETX,2025-12-07,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,京东自营的品控一直做的都非常好，京东物流的速度也超级快，这款联想小新笔记本电脑，颜值非常高，屏幕细腻，2.8k高清屏幕，看电影，看视频特别流畅清晰，电脑反应速度也超级快，推荐大家购买,0,该店铺购买≥2次,5,32G,1T,16
88,淡淡丶思念,2025-12-01,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,运行速度：运行速度很快，最新处理器就是棒屏幕效果：效果显示细腻，清晰，颜色很好看散热性能：散热效果很好，很静音外形外观：外观小巧时尚，很好看轻薄程度：重量很轻，一只手就可以拿起,0,该店铺购买≥2次,5,32G,1T,14
89,zdider,2025-11-23,16英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,屏幕是OLED的，色彩确实很鲜艳，比我的旧电脑好太多了。有数字小键盘，使用起来很方便。屏幕尺寸也挺大的，可以显示更多内容了。两个USB-C接口，客服说都可以充电，功率也是一样的。,1,该店铺购买≥2次,5,32G,1T,16
90,我是宋较瘦,2025-11-08,14英寸酷睿版 标压酷睿2代Ultra 5|32G 1T,价格还算优惠吧，外观大气简约时尚，配置不错就是没有包和鼠标，如果配上就更完美了，昨晚下单今早送也是快得没谁了，用着还不错，期待后期继续快得飞起,0,否,5,32G,1T,14
